,Date_of_Journey,Route,Dep_Time,Arrival_Time,Duration,Additional_Info,Price,Airline_en,Source_en,Destination_en,Route_en,Additional_Info_en,Total_Stops_en,Duration_en,Dep_Time_Full,Arr_Time_Full,Date_of_Journey_Timestamp,Date_of_Journey_Dayname,Date_of_Journey_Dayname_en,Weekday_vs_Weekend,Departure_Hour,Departure_Minute,Arrival_Hour,Arrival_Minute,Part_of_Day,Part_of_Day_en,Airline_Air Asia,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Banglore,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Banglore,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Total_Stops_1 stop,Total_Stops_2 stops,Total_Stops_3 stops,Total_Stops_4 stops,Total_Stops_non-stop
0,2019-03-24,BLR → DEL,22:20,01:10 22 Mar,2h 50m,Null ,3897,3,0,5,18,8,4,170,2019-03-24 22:20:00,2019-03-22 01:10:00,1553385600.0,Sunday,3,0,22,20,1,10,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2019-05-01,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,Null,7662,1,3,0,84,7,1,445,2019-05-01 05:50:00,2019-05-01 13:15:00,1556668800.0,Wednesday,6,1,5,50,13,15,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,2019-06-09,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,Null,13882,4,2,1,118,7,1,1140,2019-06-09 09:25:00,2019-10-06 04:25:00,1560038400.0,Sunday,3,0,9,25,4,25,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,2019-05-12,CCU → NAG → BLR,18:05,23:30,5h 25m,Null,6218,3,3,0,91,7,0,325,2019-05-12 18:05:00,2019-05-12 23:30:00,1557619200.0,Sunday,3,0,18,5,23,30,Evening,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4,2019-03-01,BLR → NAG → DEL,16:50,21:35,4h 45m,Null,13302,3,0,5,29,7,0,285,2019-03-01 16:50:00,2019-03-01 21:35:00,1551398400.0,Friday,0,1,16,50,21,35,Afternoon,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,2019-06-24,CCU → BLR,09:00,11:25,2h 25m,Null,3873,8,3,0,64,7,4,145,2019-06-24 09:00:00,2019-06-24 11:25:00,1561334400.0,Monday,1,1,9,0,11,25,Morning,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,2019-03-12,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,In-flight meal not included,11087,4,0,5,5,5,0,930,2019-03-12 18:55:00,2019-03-13 10:25:00,1552348800.0,Tuesday,5,1,18,55,10,25,Evening,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,2019-03-01,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,Null,22270,4,0,5,5,7,0,1265,2019-03-01 08:00:00,2019-02-03 05:05:00,1551398400.0,Friday,0,1,8,0,5,5,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,2019-03-12,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,In-flight meal not included,11087,4,0,5,5,5,0,1530,2019-03-12 08:55:00,2019-03-13 10:25:00,1552348800.0,Tuesday,5,1,8,55,10,25,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,2019-05-27,DEL → BOM → COK,11:25,19:15,7h 50m,Null,8625,6,2,1,104,7,0,470,2019-05-27 11:25:00,2019-05-27 19:15:00,1558915200.0,Monday,1,1,11,25,19,15,Morning,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
10,2019-06-01,DEL → BLR → COK,09:45,23:00,13h 15m,Null,8907,1,2,1,103,7,0,795,2019-06-01 09:45:00,2019-06-01 23:00:00,1559347200.0,Saturday,2,0,9,45,23,0,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
11,2019-04-18,CCU → BLR,20:20,22:55,2h 35m,Null,4174,3,3,0,64,7,4,155,2019-04-18 20:20:00,2019-04-18 22:55:00,1555545600.0,Thursday,4,1,20,20,22,55,Evening,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
12,2019-06-24,MAA → CCU,11:40,13:55,2h 15m,Null,4667,1,1,4,127,7,4,135,2019-06-24 11:40:00,2019-06-24 13:55:00,1561334400.0,Monday,1,1,11,40,13,55,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
